,dist,curvature
0,0.0,7.383522708146645e-05
1,0.01,0.009246603811645512
2,0.02,0.018381594078924375
3,0.03,0.027344578846510488
4,0.04,0.03614826481659028
5,0.05,0.04480468067893157
6,0.06,0.053325230733087994
7,0.07,0.06172074405426028
8,0.08,0.0700015196302984
9,0.09,0.07817736785213288
10,0.1,0.08625764869985443
11,0.11,0.0942513069311625
12,0.12,0.10216690454737062
13,0.13,0.1100126507841245
14,0.14,0.11779642984897495
15,0.15,0.1255258266057144
16,0.16,0.13320815038543596
17,0.17,0.14085045708630983
18,0.18,0.14845956970926727
19,0.19,0.15604209745908698
20,0.2,0.16360445353283562
21,0.21,0.1711528717008621
22,0.22,0.17869342177797962
23,0.23,0.1862320240720233
24,0.24,0.19377446288848857
25,0.25,0.20132639916204226
26,0.26,0.20889338227860202
27,0.27,0.2164808611450331
28,0.28,0.2240941945575155
29,0.29,0.23173866091405923
30,0.3,0.23941946731142538
31,0.31,0.2471417580619694
32,0.32,0.2549106226613236
33,0.33,0.2627311032336588
34,0.34,0.27060820147718384
35,0.35000000000000003,0.2785468851287143
36,0.36,0.28655209396246395
37,0.37,0.2946287453345976
38,0.38,0.3027817392816717
39,0.39,0.3110159631774807
40,0.4,0.3193362959500443
41,0.41000000000000003,0.32774761185584766
42,0.42,0.3362547838069422
43,0.43,0.3448626862411461
44,0.44,0.35357619752372466
45,0.45,0.3624002018645031
46,0.46,0.37133959073116596
47,0.47000000000000003,0.38039926373572064
48,0.48,0.38958412896735745
49,0.49,0.3988991027409783
50,0.5,0.4083491087266733
51,0.51,0.417939076421222
52,0.52,0.42767393891834027
53,0.53,0.43755862992996025
54,0.54,0.4475980800061194
55,0.55,0.45779721189631634
56,0.56,0.46816093499022293
57,0.5700000000000001,0.4786941387705567
58,0.58,0.48940168520584454
59,0.59,0.5002884000054109
60,0.6,0.5113590626537964
61,0.61,0.5226183951362865
62,0.62,0.5340710492623749
63,0.63,0.5457215924881973
64,0.64,0.5575744921348099
65,0.65,0.5696340978939572
66,0.66,0.5819046225090762
67,0.67,0.5943901205154418
68,0.68,0.607094464920553
69,0.6900000000000001,0.6200213217036638
70,0.7000000000000001,0.6331741220124363
71,0.71,0.646556031935109
72,0.72,0.6601699197284688
73,0.73,0.674018320385817
74,0.74,0.6881033974353257
75,0.75,0.7024269018677636
76,0.76,0.7169901281044383
77,0.77,0.7317938669313697
78,0.78,0.7468383553448033
79,0.79,0.7621232232767092
80,0.8,0.7776474371974411
81,0.81,0.793409240626597
82,0.8200000000000001,0.8094060916230508
83,0.8300000000000001,0.8256345973716539
84,0.84,0.8420904460374842
85,0.85,0.8587683361194683
86,0.86,0.8756619036039056
87,0.87,0.8927636472953281
88,0.88,0.9100648527869682
89,0.89,0.9275555156263199
90,0.9,0.9452242643321876
91,0.91,0.963058284027783
92,0.92,0.9810432415688879
93,0.93,0.9991632131656867
94,0.9400000000000001,1.0174006156197375
95,0.9500000000000001,1.0357361424215499
96,0.96,1.054148706076516
97,0.97,1.072615388144489
98,0.98,1.091111398586941
99,0.99,1.1096100461110765
100,1.0,1.1280827212775801
101,1.01,1.1464988941922636
102,1.02,1.1648261286260995
103,1.03,1.1830301143967352
104,1.04,1.2010747197916387
105,1.05,1.2189220657125204
106,1.06,1.2365326230672908
107,1.07,1.2538653347248239
108,1.08,1.270877763075922
109,1.09,1.2875262639090768
110,1.1,1.303766186912055
111,1.11,1.31955210265234
112,1.12,1.3348380553755252
113,1.1300000000000001,1.337520078565184
114,1.1400000000000001,1.322630863958247
115,1.1500000000000001,1.3072393936653244
116,1.16,1.2913906014289078
117,1.17,1.2751289817202844
118,1.18,1.2584983396736047
119,1.19,1.2415415654672788
120,1.2,1.2243004339269508
121,1.21,1.2068154296224824
122,1.22,1.1891255972829702
123,1.23,1.1712684169610332
124,1.24,1.1532797030434374
125,1.25,1.135193525930148
126,1.26,1.117042154986914
127,1.27,1.0988560212147531
128,1.28,1.080663697969102
129,1.29,1.0624918979971967
130,1.3,1.044365485038957
131,1.31,1.0263074982487208
132,1.32,1.0083391877368053
133,1.33,0.9904800595956093
134,1.34,0.9727479288596556
135,1.35,0.9551589789474982
136,1.36,0.9377278262418817
137,1.37,0.9204675885788178
138,1.3800000000000001,0.9033899565331481
139,1.3900000000000001,0.8865052665050014
140,1.4000000000000001,0.869822574725952
141,1.41,0.8533497314140606
142,1.42,0.8370934544117735
143,1.43,0.8210594017389564
144,1.44,0.8052522425844701
145,1.45,0.7896757263434633
146,1.46,0.7743327493833967
147,1.47,0.7592254192901257
148,1.48,0.7443551164063006
149,1.49,0.7297225525279589
150,1.5,0.7153278266721053
151,1.51,0.7011704778685895
152,1.52,0.6872495349644069
153,1.53,0.6735635634577601
154,1.54,0.660110709403687
155,1.55,0.6468887404532265
156,1.56,0.6338950841041463
157,1.57,0.6211268632540078
158,1.58,0.6085809291560496
159,1.59,0.5962538918853403
160,1.6,0.5841421484274092
161,1.61,0.572241908504427
162,1.62,0.5605492182550498
163,1.6300000000000001,0.5490599818838522
164,1.6400000000000001,0.5377699813949116
165,1.6500000000000001,0.5266748945216718
166,1.6600000000000001,0.515770310962213
167,1.67,0.5050517470253433
168,1.68,0.4945146587887104
169,1.69,0.4841544538657719
170,1.7,0.47396650187359934
171,1.71,0.46394614368869214
172,1.72,0.45408869957300485
173,1.73,0.44438947624734176
174,1.74,0.43484377298439053
175,1.75,0.4254468867886676
176,1.76,0.41619411672589907
177,1.77,0.4070807674596142
178,1.78,0.3981021520481393
179,1.79,0.38925359405079324
